,n_atoms,SMILES,time
0,6,[H][O][C]([H])([H])[H],0.7821609973907471
1,8,[H][C]([H])([H])[C]([H])([H])[H],1.463482141494751
2,9,[H][O][C]([H])([H])[C]([H])([H])[H],0.7736811637878418
3,14,[H][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],0.9556810855865479
4,5,[H][O][C]([H])=[O],1.2427120208740234
5,8,[H][N]([H])[C](=[O])[N]([H])[H],0.7758626937866211
6,20,[H][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],1.7366039752960205
7,12,[H][c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],2.2935378551483154
8,14,[H][c]1[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]1[H],0.8960080146789551
9,22,[H][c]1[c]([H])[c]([H])[c](-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[H],1.5781910419464111
10,23,[H][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([N]([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H],0.9852499961853027
11,24,[H][C]1=[N][C]2=[C]([C](=[O])[N]([C]([H])([H])[H])[C](=[O])[N]2[C]([H])([H])[H])[N]1[C]([H])([H])[H],1.4521539211273193
12,13,[H][O][C](=[O])[C]([H])([N]([H])[H])[C]([H])([H])[H],0.7989902496337891
13,12,[H][c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],0.8478379249572754
14,10,[H][C]([H])([H])[C](=[O])[C]([H])([H])[H],1.4935979843139648
15,9,[H][C]1=[C]([H])[C]([H])=[C]([H])[O]1,0.725492000579834
16,20,[H][O][c]1[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]1[H],1.2399868965148926
17,22,[H][N]1[C](=[O])[C](=[O])[N]([C]2([H])[C]([H])([H])[C](=[O])[C]([H])([H])[C]2([H])[H])[C]1=[O],0.753774881362915
18,29,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[C](=[O])[N]([C]1([H])[C](=[O])[N]([H])[C](=[O])[C]([H])([H])[C]1([H])[H])[C]2=[O],0.7713031768798828
19,34,[H][c]1[c]([H])[c]([Cl])[c]([H])[c]([C](=[O])[C]([H])([N]([H])[C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])([H])[H])[c]1[H],1.2395081520080566
20,37,[H][O][C](=[O])[C]1=[C]([H])[N]([C](=[O])[C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([Cl])[c]([H])[c]21,0.7871696949005127
21,40,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[S][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[N]2[C]([H])([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],1.3232688903808594
22,28,[H][c]1[c]([H])[c]([H])[c]2[c]([C]3=[N][C](=[O])[N]([H])[C](=[O])[C]3([H])[H])[c]([H])[c]([H])[c]([H])[c]2[c]1[H],0.7648131847381592
